beat_index,peak_sample,peak_time_s,peak_value,rr_prev_s,rr_next_s,rr_baseline_s,prematurity_index,compensatory_pause_index,qrs_width_ms,qrs_peak_to_peak,qrs_area_abs,qrs_max_slope,template_corr,is_extrasystole_candidate
101,45980,45.98,-142.50801409353454,0.5349999999999966,0.5970000000000013,0.4229999999999947,1.2647754137115916,1.4113475177305173,36.999999999979494,295.25559970219535,5.47756141116902,20562.872489225112,0.7599165450323527,0
102,46577,46.577,-12.647024697741246,0.5970000000000013,0.35200000000000387,0.4229999999999947,1.4113475177305173,0.8321513002364261,109.99999999993904,16.714775409484307,0.38938676038890657,763.3547106603731,0.05734735494122545,0
103,46929,46.929,-142.33433837416507,0.35200000000000387,0.9369999999999976,0.4229999999999947,0.8321513002364261,2.215130023640684,35.99999999998005,291.35687812543415,5.515212022035655,20137.830640749457,0.79005905634763,0
104,47866,47.866,-147.3457954947808,0.9369999999999976,0.661999999999999,0.4229999999999947,2.215130023640684,1.5650118203309866,49.99999999997229,317.4870931920743,6.196320193835227,21713.81177134493,0.7573654016330386,0
105,48528,48.528,-8.475355799951842,0.661999999999999,0.31500000000000483,0.4229999999999947,1.5650118203309866,0.7446808510638505,23.9999999999867,15.51218046952734,0.42944956129666045,1050.423954937463,0.03914612351304721,0
106,48843,48.843,-146.39138781126542,0.31500000000000483,0.9939999999999998,0.4229999999999947,0.7446808510638505,2.3498817966903363,24.999999999986144,331.5088693802432,6.020592827482533,23128.999942773356,0.7175980005104207,0
107,49837,49.837,-144.495046461612,0.9939999999999998,0.25,0.4229999999999947,2.3498817966903363,0.5910165484633644,77.99999999995677,302.46890873338475,5.535351043026802,21065.042833178708,0.7614673675806071,0
108,50087,50.087,-16.057672408747447,0.25,0.7249999999999943,0.4229999999999947,0.5910165484633644,1.7139479905437431,58.9999999999673,33.734391886982785,1.1043332335871268,1767.9808524399646,0.1941845351851792,0
109,50812,50.812,-138.5656315216713,0.7249999999999943,0.588000000000001,0.4229999999999947,1.7139479905437431,1.3900709219858352,47.9999999999734,294.282190613696,5.798211275719282,20396.887570890056,0.7799108708817855,0
110,51400,51.4,-16.367743498343366,0.588000000000001,0.4089999999999989,0.4229999999999947,1.3900709219858352,0.9669030732860615,210.99999999988307,13.992859262914719,0.319741729850178,1065.5019019951649,0.160190843814542,0
111,51809,51.809,-145.06081065331117,0.4089999999999989,0.46700000000000585,0.4229999999999947,0.9669030732860615,1.1040189125295785,25.99999999998559,338.5551158034859,6.114987455242767,23363.136370631746,0.7091387170665747,0
112,52276,52.276,-128.25572563716517,0.46700000000000585,0.36699999999999733,0.4229999999999947,1.1040189125295785,0.8676122931442125,79.99999999995566,190.17954749504796,6.123926430070655,7779.964999835783,0.5568267267211247,0
113,52643,52.643,-50.64311471960802,0.36699999999999733,0.4299999999999997,0.4229999999999947,0.8676122931442125,1.0165484633569861,190.99999999989416,41.44017154878194,1.141859466184983,1053.2518607406244,0.5456645445862931,0
114,53073,53.073,-6.756676081690951,0.4299999999999997,0.5420000000000016,0.4229999999999947,1.0165484633569861,1.2813238770685778,97.99999999994569,13.776498295535312,0.4432925520958557,654.344682052793,0.23445562902395936,0
115,53615,53.615,-138.88148609802255,0.5420000000000016,0.25,0.4229999999999947,1.2813238770685778,0.5910165484633644,23.9999999999867,305.59118228839986,6.027819242736021,21213.524102194242,0.7404128663798745,0
